10,1
10,2
10,3
10,4
10,5
10,6
11,1
11,2
11,3
11,4
11,5
11,6
12,1
12,2
12,3
13,1
13,2
14,1
14,2
15,10
15,1
15,2
15,3
15,4
15,5
15,6
15,7
15,8
15,9
16,1
16,2
16,3
17,1
17,2
17,3
17,4
17,5
17,6
17,7
18,10
18,1
18,2
18,3
18,4
18,5
18,6
18,7
18,8
18,9
19,10
19,1
19,2
19,3
19,4
19,5
19,6
19,7
19,8
19,9
1,1
1,2
1,3
20,1
20,2
20,3
20,4
21,1
21,2
21,3
21,4
21,5
21,6
21,7
21,8
22,1
23,10
23,11
23,12
23,13
23,14
23,1
23,2
23,3
23,4
23,5
23,6
23,7
23,8
23,9
24,1
24,2
24,3
24,4
24,5
24,6
24,7
24,8
24,9
25,1
25,2
25,3
2,10
2,1
2,2
2,3
2,4
2,5
2,6
2,7
2,8
2,9
3,1
3,2
3,3
3,4
3,5
3,6
4,1
4,2
5,1
5,2
5,3
5,4
5,5
5,6
5,7
6,1
6,2
6,3
7,10
7,11
7,12
7,13
7,14
7,1
7,2
7,3
7,4
7,5
7,6
7,7
7,8
7,9
8,1
8,2
8,3
8,4
8,5
9,1
9,2
9,3
9,4
